Dataset,Sample Method,Preprocessing,Learner,Recall,Precision,Accuracy,F1 Score
Turma 2,Random 20 80,Chi2 Top 10,SVM,0.9375,0.9375,0.95349,0.9375
Turma 2,Random 20 80,Chi2 Top 10,Gradient Boosting,0.9375,0.88235,0.93023,0.90909
Turma 2,Random 20 80,Chi2 Top 10,AdaBoost,0.90625,0.90625,0.93023,0.90625
Turma 2,Random 20 80,Chi2 Top 10,Logistic Regression,0.9375,0.90909,0.94186,0.92308
Turma 2,Random 20 80,ANOVA Top 10,Neural Network,1.0,0.91429,0.96512,0.95522
Turma 2,Random 20 80,ANOVA Top 10,Random Forest,0.9375,0.90909,0.94186,0.92308
Turma 2,Random 20 80,ANOVA Top 10,Tree,0.9375,0.88235,0.93023,0.90909
Turma 2,Random 20 80,ANOVA Top 10,kNN,0.9375,0.9375,0.95349,0.9375
Turma 2,Random 20 80,ANOVA Top 10,Naive Bayes,1.0,0.8,0.90698,0.88889
Turma 2,Random 20 80,ANOVA Top 10,SVM,0.9375,0.9375,0.95349,0.9375
Turma 2,Random 20 80,ANOVA Top 10,Gradient Boosting,0.9375,0.88235,0.93023,0.90909
Turma 2,Random 20 80,ANOVA Top 10,AdaBoost,0.90625,0.90625,0.93023,0.90625
Turma 2,Random 20 80,ANOVA Top 10,Logistic Regression,0.9375,0.90909,0.94186,0.92308
Turma 2,Random 20 80,Gain ratio Top 10,Neural Network,0.96875,0.88571,0.94186,0.92537
Turma 2,Random 20 80,Gain ratio Top 10,Random Forest,0.9375,0.90909,0.94186,0.92308
Turma 2,Random 20 80,Gain ratio Top 10,Tree,0.875,0.875,0.90698,0.875
Turma 2,Random 20 80,Gain ratio Top 10,kNN,0.96875,0.93939,0.96512,0.95385
Turma 2,Random 20 80,Gain ratio Top 10,Naive Bayes,1.0,0.86486,0.94186,0.92754
Turma 2,Random 20 80,Gain ratio Top 10,SVM,0.875,0.90323,0.9186,0.88889
Turma 2,Random 20 80,Gain ratio Top 10,Gradient Boosting,0.90625,0.87879,0.9186,0.89231
Turma 2,Random 20 80,Gain ratio Top 10,AdaBoost,0.90625,0.90625,0.93023,0.90625
Turma 2,Random 20 80,Gain ratio Top 10,Logistic Regression,0.9375,0.90909,0.94186,0.92308
Turma 2,Random 20 80,Info gain Top 10,Neural Network,0.96875,0.93939,0.96512,0.95385
Turma 2,Random 20 80,Info gain Top 10,Random Forest,0.9375,0.90909,0.94186,0.92308
Turma 2,Random 20 80,Info gain Top 10,Tree,0.875,0.875,0.90698,0.875
Turma 2,Random 20 80,Info gain Top 10,kNN,0.9375,0.90909,0.94186,0.92308
Turma 2,Random 20 80,Info gain Top 10,Naive Bayes,1.0,0.86486,0.94186,0.92754
Turma 2,Random 20 80,Info gain Top 10,SVM,0.9375,0.96774,0.96512,0.95238
Turma 2,Random 20 80,Info gain Top 10,Gradient Boosting,0.90625,0.87879,0.9186,0.89231
Turma 2,Random 20 80,Info gain Top 10,AdaBoost,0.90625,0.87879,0.9186,0.89231
Turma 2,Random 20 80,Info gain Top 10,Logistic Regression,0.9375,0.90909,0.94186,0.92308
