Dataset,Sample Method,Preprocessing,Learner,Recall,Precision,Accuracy,F1 Score
Turma 1,Random 20 80,Chi2 Top 10,Neural Network,0.46429,0.86667,0.81111,0.60465
Turma 1,Random 20 80,Chi2 Top 10,Random Forest,0.39286,0.84615,0.78889,0.53659
Turma 1,Random 20 80,Chi2 Top 10,Tree,0.64286,0.69231,0.8,0.66667
Turma 1,Random 20 80,Chi2 Top 10,kNN,0.10714,0.6,0.7,0.18182
Turma 1,Random 20 80,Chi2 Top 10,Naive Bayes,0.82143,0.56098,0.74444,0.66667
Turma 1,Random 20 80,Chi2 Top 10,SVM,0.0,0.0,0.67778,0.0
Turma 1,Random 20 80,Chi2 Top 10,Gradient Boosting,0.53571,0.68182,0.77778,0.6
Turma 1,Random 20 80,Chi2 Top 10,AdaBoost,0.57143,0.84211,0.83333,0.68085
Turma 1,Random 20 80,Chi2 Top 10,Logistic Regression,0.64286,0.85714,0.85556,0.73469
Turma 1,Random 20 80,Chi2 Top 5,Neural Network,0.32143,0.69231,0.74444,0.43902
Turma 1,Random 20 80,Chi2 Top 5,Random Forest,0.35714,0.90909,0.78889,0.51282
Turma 1,Random 20 80,Chi2 Top 5,Tree,0.57143,0.7619,0.81111,0.65306
Turma 1,Random 20 80,Chi2 Top 5,kNN,0.14286,0.44444,0.67778,0.21622
Turma 1,Random 20 80,Chi2 Top 5,Naive Bayes,0.75,0.53846,0.72222,0.62687
Turma 1,Random 20 80,Chi2 Top 5,SVM,0.03571,0.33333,0.67778,0.06452
Turma 1,Random 20 80,Chi2 Top 5,Gradient Boosting,0.60714,0.85,0.84444,0.70833
Turma 1,Random 20 80,Chi2 Top 5,AdaBoost,0.64286,0.85714,0.85556,0.73469
Turma 1,Random 20 80,Chi2 Top 5,Logistic Regression,0.53571,0.88235,0.83333,0.66667
Turma 1,Random 20 80,ANOVA Top 5,Neural Network,0.32143,0.81818,0.76667,0.46154
Turma 1,Random 20 80,ANOVA Top 5,Random Forest,0.39286,0.78571,0.77778,0.52381
Turma 1,Random 20 80,ANOVA Top 5,Tree,0.57143,0.72727,0.8,0.64
Turma 1,Random 20 80,ANOVA Top 5,kNN,0.07143,0.33333,0.66667,0.11765
Turma 1,Random 20 80,ANOVA Top 5,Naive Bayes,0.75,0.58333,0.75556,0.65625
Turma 1,Random 20 80,ANOVA Top 5,SVM,0.03571,0.33333,0.67778,0.06452
Turma 1,Random 20 80,ANOVA Top 5,Gradient Boosting,0.57143,0.88889,0.84444,0.69565
Turma 1,Random 20 80,ANOVA Top 5,AdaBoost,0.64286,0.81818,0.84444,0.72
Turma 1,Random 20 80,ANOVA Top 5,Logistic Regression,0.64286,0.9,0.86667,0.75
Turma 1,Random 20 80,Gain ratio Top 5,Neural Network,0.39286,0.84615,0.78889,0.53659
Turma 1,Random 20 80,Gain ratio Top 5,Random Forest,0.32143,0.64286,0.73333,0.42857
Turma 1,Random 20 80,Gain ratio Top 5,Tree,0.39286,0.6875,0.75556,0.5
Turma 1,Random 20 80,Gain ratio Top 5,kNN,0.10714,0.375,0.66667,0.16667
Turma 1,Random 20 80,Gain ratio Top 5,Naive Bayes,0.78571,0.61111,0.77778,0.6875
Turma 1,Random 20 80,Gain ratio Top 5,SVM,0.07143,0.4,0.67778,0.12121
Turma 1,Random 20 80,Gain ratio Top 5,Gradient Boosting,0.60714,0.80952,0.83333,0.69388
Turma 1,Random 20 80,Gain ratio Top 5,AdaBoost,0.57143,0.84211,0.83333,0.68085
Turma 1,Random 20 80,Gain ratio Top 5,Logistic Regression,0.53571,0.75,0.8,0.625
Turma 1,Random 20 80,Info gain Top 5,Neural Network,0.46429,0.92857,0.82222,0.61905
Turma 1,Random 20 80,Info gain Top 5,Random Forest,0.32143,0.75,0.75556,0.45
Turma 1,Random 20 80,Info gain Top 5,Tree,0.64286,0.75,0.82222,0.69231
Turma 1,Random 20 80,Info gain Top 5,kNN,0.07143,0.33333,0.66667,0.11765
Turma 1,Random 20 80,Info gain Top 5,Naive Bayes,0.82143,0.54762,0.73333,0.65714
Turma 1,Random 20 80,Info gain Top 5,SVM,0.14286,0.5,0.68889,0.22222
Turma 1,Random 20 80,Info gain Top 5,Gradient Boosting,0.64286,0.72,0.81111,0.67925
Turma 1,Random 20 80,Info gain Top 5,AdaBoost,0.57143,0.69565,0.78889,0.62745
Turma 1,Random 20 80,Info gain Top 5,Logistic Regression,0.53571,0.9375,0.84444,0.68182
Turma 1,10 Fold,Info gain Top 5,Neural Network,0.5,0.5,0.7561,0.5
Turma 1,10 Fold,Info gain Top 5,Random Forest,0.5,0.55556,0.78049,0.52632
Turma 1,10 Fold,Info gain Top 5,Tree,0.4,0.44444,0.73171,0.42105
Turma 1,10 Fold,Info gain Top 5,kNN,0.2,0.33333,0.70732,0.25
Turma 1,10 Fold,Info gain Top 5,Naive Bayes,0.9,0.42857,0.68293,0.58065
Turma 1,10 Fold,Info gain Top 5,SVM,0.0,0.0,0.65854,0.0
Turma 1,10 Fold,Info gain Top 5,Gradient Boosting,0.5,0.625,0.80488,0.55556
Turma 1,10 Fold,Info gain Top 5,AdaBoost,0.4,0.66667,0.80488,0.5
Turma 1,10 Fold,Info gain Top 5,Logistic Regression,0.7,0.77778,0.87805,0.73684
Turma 1,10 Fold,Gain ratio Top 5,Neural Network,0.7,0.58333,0.80488,0.63636
Turma 1,10 Fold,Gain ratio Top 5,Random Forest,0.4,0.66667,0.80488,0.5
Turma 1,10 Fold,Gain ratio Top 5,Tree,0.4,0.44444,0.73171,0.42105
Turma 1,10 Fold,Gain ratio Top 5,kNN,0.0,0.0,0.65854,0.0
Turma 1,10 Fold,Gain ratio Top 5,Naive Bayes,0.9,0.40909,0.65854,0.5625
Turma 1,10 Fold,Gain ratio Top 5,SVM,0.0,0.0,0.63415,0.0
Turma 1,10 Fold,Gain ratio Top 5,Gradient Boosting,0.5,0.625,0.80488,0.55556
Turma 1,10 Fold,Gain ratio Top 5,AdaBoost,0.5,0.625,0.80488,0.55556
Turma 1,10 Fold,Gain ratio Top 5,Logistic Regression,0.7,0.77778,0.87805,0.73684
Turma 1,10 Fold,ANOVA Top 5,Neural Network,0.7,0.7,0.85366,0.7
Turma 1,10 Fold,ANOVA Top 5,Random Forest,0.5,0.71429,0.82927,0.58824
