Dataset,Sample Method,Preprocessing,Learner,Recall,Precision,Accuracy,F1 Score
Turma 1,Random 20 80,Info gain Top 5,Neural Network,0.57143,0.69565,0.78889,0.62745
Turma 1,Random 20 80,Info gain Top 5,Random Forest,0.35714,0.625,0.73333,0.45455
Turma 1,Random 20 80,Info gain Top 5,Tree,0.64286,0.78261,0.83333,0.70588
Turma 1,Random 20 80,Info gain Top 5,kNN,0.03571,0.2,0.65556,0.06061
Turma 1,Random 20 80,Info gain Top 5,Naive Bayes,0.82143,0.60526,0.77778,0.69697
Turma 1,Random 20 80,Info gain Top 5,SVM,0.25,0.63636,0.72222,0.35897
Turma 1,Random 20 80,Info gain Top 5,Gradient Boosting,0.5,0.7,0.77778,0.58333
Turma 1,Random 20 80,Info gain Top 5,AdaBoost,0.57143,0.7619,0.81111,0.65306
Turma 1,Random 20 80,Info gain Top 5,Logistic Regression,0.60714,0.70833,0.8,0.65385
Turma 1,Random 20 80,Gain ratio Top 5,Neural Network,0.53571,0.75,0.8,0.625
Turma 1,Random 20 80,Gain ratio Top 5,Random Forest,0.64286,0.78261,0.83333,0.70588
Turma 1,Random 20 80,Gain ratio Top 5,Tree,0.71429,0.71429,0.82222,0.71429
Turma 1,Random 20 80,Gain ratio Top 5,kNN,0.03571,0.2,0.65556,0.06061
Turma 1,Random 20 80,Gain ratio Top 5,Naive Bayes,0.89286,0.625,0.8,0.73529
Turma 1,Random 20 80,Gain ratio Top 5,SVM,0.28571,0.8,0.75556,0.42105
Turma 1,Random 20 80,Gain ratio Top 5,Gradient Boosting,0.71429,0.8,0.85556,0.75472
Turma 1,Random 20 80,Gain ratio Top 5,AdaBoost,0.75,0.84,0.87778,0.79245
Turma 1,Random 20 80,Gain ratio Top 5,Logistic Regression,0.60714,0.77273,0.82222,0.68
Turma 1,Random 20 80,ANOVA Top 5,Neural Network,0.32143,0.6,0.72222,0.4186
Turma 1,Random 20 80,ANOVA Top 5,Random Forest,0.28571,0.57143,0.71111,0.38095
Turma 1,Random 20 80,ANOVA Top 5,Tree,0.39286,0.84615,0.78889,0.53659
Turma 1,Random 20 80,ANOVA Top 5,kNN,0.07143,0.33333,0.66667,0.11765
Turma 1,Random 20 80,ANOVA Top 5,Naive Bayes,0.78571,0.57895,0.75556,0.66667
Turma 1,Random 20 80,ANOVA Top 5,SVM,0.14286,0.5,0.68889,0.22222
Turma 1,Random 20 80,ANOVA Top 5,Gradient Boosting,0.42857,0.85714,0.8,0.57143
Turma 1,Random 20 80,ANOVA Top 5,AdaBoost,0.5,0.93333,0.83333,0.65116
Turma 1,Random 20 80,ANOVA Top 5,Logistic Regression,0.53571,0.83333,0.82222,0.65217
Turma 1,Random 20 80,Chi2 Top 5,Neural Network,0.35714,0.625,0.73333,0.45455
Turma 1,Random 20 80,Chi2 Top 5,Random Forest,0.35714,0.83333,0.77778,0.5
Turma 1,Random 20 80,Chi2 Top 5,Tree,0.42857,0.70588,0.76667,0.53333
Turma 1,Random 20 80,Chi2 Top 5,kNN,0.07143,0.33333,0.66667,0.11765
Turma 1,Random 20 80,Chi2 Top 5,Naive Bayes,0.78571,0.61111,0.77778,0.6875
Turma 1,Random 20 80,Chi2 Top 5,SVM,0.17857,0.5,0.68889,0.26316
Turma 1,Random 20 80,Chi2 Top 5,Gradient Boosting,0.46429,0.86667,0.81111,0.60465
Turma 1,Random 20 80,Chi2 Top 5,AdaBoost,0.53571,0.88235,0.83333,0.66667
Turma 1,Random 20 80,Chi2 Top 5,Logistic Regression,0.57143,0.84211,0.83333,0.68085
Turma 1,Random 20 80,Chi2 Top 10,Neural Network,0.42857,0.70588,0.76667,0.53333
Turma 1,Random 20 80,Chi2 Top 10,Random Forest,0.25,0.58333,0.71111,0.35
Turma 1,Random 20 80,Chi2 Top 10,Tree,0.35714,0.71429,0.75556,0.47619
Turma 1,Random 20 80,Chi2 Top 10,kNN,0.0,0.0,0.65556,0.0
Turma 1,Random 20 80,Chi2 Top 10,Naive Bayes,0.82143,0.56098,0.74444,0.66667
Turma 1,Random 20 80,Chi2 Top 10,SVM,0.14286,0.44444,0.67778,0.21622
Turma 1,Random 20 80,Chi2 Top 10,Gradient Boosting,0.5,0.82353,0.81111,0.62222
Turma 1,Random 20 80,Chi2 Top 10,AdaBoost,0.53571,0.88235,0.83333,0.66667
Turma 1,Random 20 80,Chi2 Top 10,Logistic Regression,0.57143,0.84211,0.83333,0.68085
Turma 1,Random 20 80,ANOVA Top 10,Neural Network,0.39286,0.64706,0.74444,0.48889
