Dataset,Sample Method,Preprocessing,Learner,Recall,Precision,Accuracy,F1 Score
Turma 1,Test Train 30 70,Chi2 Top 10,Naive Bayes,1.0,0.5,0.75,0.66667
Turma 1,Test Train 30 70,Chi2 Top 10,SVM,0.66667,0.5,0.75,0.57143
Turma 1,Test Train 30 70,Chi2 Top 10,Gradient Boosting,0.33333,1.0,0.83333,0.5
Turma 1,Test Train 30 70,Chi2 Top 10,AdaBoost,0.33333,0.5,0.75,0.4
Turma 1,Test Train 30 70,Chi2 Top 10,Logistic Regression,0.33333,1.0,0.83333,0.5
Turma 1,Test Train 30 70,Chi2 Top 5,Neural Network,0.66667,0.66667,0.83333,0.66667
Turma 1,Test Train 30 70,Chi2 Top 5,Random Forest,0.33333,0.5,0.75,0.4
Turma 1,Test Train 30 70,Chi2 Top 5,Tree,0.66667,0.5,0.75,0.57143
Turma 1,Test Train 30 70,Chi2 Top 5,kNN,1.0,0.5,0.75,0.66667
Turma 1,Test Train 30 70,Chi2 Top 5,Naive Bayes,1.0,0.5,0.75,0.66667
Turma 1,Test Train 30 70,Chi2 Top 5,SVM,1.0,0.6,0.83333,0.75
Turma 1,Test Train 30 70,Chi2 Top 5,Gradient Boosting,0.33333,0.5,0.75,0.4
Turma 1,Test Train 30 70,Chi2 Top 5,AdaBoost,0.33333,0.5,0.75,0.4
Turma 1,Test Train 30 70,Chi2 Top 5,Logistic Regression,0.66667,0.66667,0.83333,0.66667
Turma 1,Test Train 30 70,ANOVA Top 5,Neural Network,1.0,0.75,0.91667,0.85714
Turma 1,Test Train 30 70,ANOVA Top 5,Random Forest,1.0,0.5,0.75,0.66667
Turma 1,Test Train 30 70,ANOVA Top 5,Tree,1.0,0.5,0.75,0.66667
Turma 1,Test Train 30 70,ANOVA Top 5,kNN,1.0,0.5,0.75,0.66667
Turma 1,Test Train 30 70,ANOVA Top 5,Naive Bayes,1.0,0.5,0.75,0.66667
Turma 1,Test Train 30 70,ANOVA Top 5,SVM,1.0,0.6,0.83333,0.75
Turma 1,Test Train 30 70,ANOVA Top 5,Gradient Boosting,1.0,0.75,0.91667,0.85714
Turma 1,Test Train 30 70,ANOVA Top 5,AdaBoost,1.0,0.6,0.83333,0.75
Turma 1,Test Train 30 70,ANOVA Top 5,Logistic Regression,1.0,0.75,0.91667,0.85714
Turma 1,Test Train 30 70,Gain ratio Top 5,Neural Network,0.66667,0.5,0.75,0.57143
Turma 1,Test Train 30 70,Gain ratio Top 5,Random Forest,0.33333,1.0,0.83333,0.5
Turma 1,Test Train 30 70,Gain ratio Top 5,Tree,0.33333,1.0,0.83333,0.5
Turma 1,Test Train 30 70,Gain ratio Top 5,kNN,1.0,0.6,0.83333,0.75
Turma 1,Test Train 30 70,Gain ratio Top 5,Naive Bayes,1.0,0.5,0.75,0.66667
Turma 1,Test Train 30 70,Gain ratio Top 5,SVM,1.0,0.6,0.83333,0.75
Turma 1,Test Train 30 70,Gain ratio Top 5,Gradient Boosting,0.33333,1.0,0.83333,0.5
Turma 1,Test Train 30 70,Gain ratio Top 5,AdaBoost,0.33333,1.0,0.83333,0.5
Turma 1,Test Train 30 70,Gain ratio Top 5,Logistic Regression,0.33333,1.0,0.83333,0.5
Turma 1,Test Train 30 70,Info gain Top 5,Neural Network,0.66667,0.5,0.75,0.57143
Turma 1,Test Train 30 70,Info gain Top 5,Random Forest,0.66667,0.5,0.75,0.57143
Turma 1,Test Train 30 70,Info gain Top 5,Tree,0.33333,1.0,0.83333,0.5
Turma 1,Test Train 30 70,Info gain Top 5,kNN,1.0,0.6,0.83333,0.75
Turma 1,Test Train 30 70,Info gain Top 5,Naive Bayes,1.0,0.5,0.75,0.66667
Turma 1,Test Train 30 70,Info gain Top 5,SVM,1.0,0.6,0.83333,0.75
Turma 1,Test Train 30 70,Info gain Top 5,Gradient Boosting,0.33333,1.0,0.83333,0.5
Turma 1,Test Train 30 70,Info gain Top 5,AdaBoost,0.33333,1.0,0.83333,0.5
Turma 1,Test Train 30 70,Info gain Top 5,Logistic Regression,0.33333,1.0,0.83333,0.5
Turma 2,Test Train 30 70,Info gain Top 10,Neural Network,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,Info gain Top 10,Random Forest,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,Info gain Top 10,Tree,0.77778,1.0,0.92,0.875
Turma 2,Test Train 30 70,Info gain Top 10,kNN,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,Info gain Top 10,Naive Bayes,1.0,0.81818,0.92,0.9
Turma 2,Test Train 30 70,Info gain Top 10,SVM,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,Info gain Top 10,Gradient Boosting,0.88889,1.0,0.96,0.94118
Turma 2,Test Train 30 70,Info gain Top 10,AdaBoost,0.88889,1.0,0.96,0.94118
Turma 2,Test Train 30 70,Info gain Top 10,Logistic Regression,0.88889,1.0,0.96,0.94118
Turma 2,Test Train 30 70,Gain ratio Top 10,Neural Network,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,Gain ratio Top 10,Random Forest,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,Gain ratio Top 10,Tree,0.77778,1.0,0.92,0.875
Turma 2,Test Train 30 70,Gain ratio Top 10,kNN,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,Gain ratio Top 10,Naive Bayes,1.0,0.81818,0.92,0.9
Turma 2,Test Train 30 70,Gain ratio Top 10,SVM,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,Gain ratio Top 10,Gradient Boosting,0.88889,1.0,0.96,0.94118
Turma 2,Test Train 30 70,Gain ratio Top 10,AdaBoost,0.88889,1.0,0.96,0.94118
Turma 2,Test Train 30 70,Gain ratio Top 10,Logistic Regression,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,ANOVA Top 10,Neural Network,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,ANOVA Top 10,Random Forest,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,ANOVA Top 10,Tree,0.77778,1.0,0.92,0.875
Turma 2,Test Train 30 70,ANOVA Top 10,kNN,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,ANOVA Top 10,Naive Bayes,1.0,0.9,0.96,0.94737
Turma 2,Test Train 30 70,ANOVA Top 10,SVM,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,ANOVA Top 10,Gradient Boosting,0.88889,1.0,0.96,0.94118
Turma 2,Test Train 30 70,ANOVA Top 10,AdaBoost,0.88889,1.0,0.96,0.94118
Turma 2,Test Train 30 70,ANOVA Top 10,Logistic Regression,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,Chi2 Top 10,Neural Network,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,Chi2 Top 10,Random Forest,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,Chi2 Top 10,Tree,0.77778,1.0,0.92,0.875
Turma 2,Test Train 30 70,Chi2 Top 10,kNN,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,Chi2 Top 10,Naive Bayes,1.0,0.9,0.96,0.94737
Turma 2,Test Train 30 70,Chi2 Top 10,SVM,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,Chi2 Top 10,Gradient Boosting,0.88889,1.0,0.96,0.94118
Turma 2,Test Train 30 70,Chi2 Top 10,AdaBoost,0.88889,1.0,0.96,0.94118
Turma 2,Test Train 30 70,Chi2 Top 10,Logistic Regression,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,Chi2 Top 5,Neural Network,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,Chi2 Top 5,Random Forest,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,Chi2 Top 5,Tree,0.88889,1.0,0.96,0.94118
Turma 2,Test Train 30 70,Chi2 Top 5,kNN,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,Chi2 Top 5,Naive Bayes,1.0,0.9,0.96,0.94737
Turma 2,Test Train 30 70,Chi2 Top 5,SVM,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,Chi2 Top 5,Gradient Boosting,0.88889,1.0,0.96,0.94118
Turma 2,Test Train 30 70,Chi2 Top 5,AdaBoost,0.88889,1.0,0.96,0.94118
Turma 2,Test Train 30 70,Chi2 Top 5,Logistic Regression,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,ANOVA Top 5,Neural Network,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,ANOVA Top 5,Random Forest,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,ANOVA Top 5,Tree,0.88889,1.0,0.96,0.94118
Turma 2,Test Train 30 70,ANOVA Top 5,kNN,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,ANOVA Top 5,Naive Bayes,0.66667,1.0,0.88,0.8
Turma 2,Test Train 30 70,ANOVA Top 5,SVM,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,ANOVA Top 5,Gradient Boosting,0.88889,1.0,0.96,0.94118
Turma 2,Test Train 30 70,ANOVA Top 5,AdaBoost,0.88889,1.0,0.96,0.94118
Turma 2,Test Train 30 70,ANOVA Top 5,Logistic Regression,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,Gain ratio Top 5,Neural Network,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,Gain ratio Top 5,Random Forest,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,Gain ratio Top 5,Tree,0.88889,1.0,0.96,0.94118
Turma 2,Test Train 30 70,Gain ratio Top 5,kNN,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,Gain ratio Top 5,Naive Bayes,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,Gain ratio Top 5,SVM,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,Gain ratio Top 5,Gradient Boosting,0.88889,1.0,0.96,0.94118
Turma 2,Test Train 30 70,Gain ratio Top 5,AdaBoost,0.88889,1.0,0.96,0.94118
Turma 2,Test Train 30 70,Gain ratio Top 5,Logistic Regression,0.88889,1.0,0.96,0.94118
Turma 2,Test Train 30 70,Info gain Top 5,Neural Network,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,Info gain Top 5,Random Forest,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,Info gain Top 5,Tree,0.77778,1.0,0.92,0.875
Turma 2,Test Train 30 70,Info gain Top 5,kNN,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,Info gain Top 5,Naive Bayes,1.0,0.9,0.96,0.94737
Turma 2,Test Train 30 70,Info gain Top 5,SVM,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,Info gain Top 5,Gradient Boosting,0.88889,1.0,0.96,0.94118
Turma 2,Test Train 30 70,Info gain Top 5,AdaBoost,0.88889,1.0,0.96,0.94118
Turma 2,Test Train 30 70,Info gain Top 5,Logistic Regression,0.88889,1.0,0.96,0.94118
Turma 2,Test Train 30 70,None,Neural Network,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,None,Random Forest,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,None,Tree,0.77778,1.0,0.92,0.875
Turma 2,Test Train 30 70,None,kNN,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,None,Naive Bayes,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,None,SVM,1.0,1.0,1.0,1.0
Turma 2,Test Train 30 70,None,Gradient Boosting,0.88889,1.0,0.96,0.94118
Turma 2,Test Train 30 70,None,AdaBoost,0.88889,1.0,0.96,0.94118
Turma 2,Test Train 30 70,None,Logistic Regression,0.88889,1.0,0.96,0.94118
Turma 1,Test Train 30 70,None,Neural Network,1.0,1.0,1.0,1.0
Turma 1,Test Train 30 70,None,Random Forest,0.33333,1.0,0.83333,0.5
Turma 1,Test Train 30 70,None,Tree,0.33333,1.0,0.83333,0.5
Turma 1,Test Train 30 70,None,kNN,1.0,0.6,0.83333,0.75
Turma 1,Test Train 30 70,None,Naive Bayes,1.0,0.5,0.75,0.66667
Turma 1,Test Train 30 70,None,SVM,1.0,0.75,0.91667,0.85714
Turma 1,Test Train 30 70,None,Gradient Boosting,0.66667,1.0,0.91667,0.8
Turma 1,Test Train 30 70,None,AdaBoost,0.33333,1.0,0.83333,0.5
Turma 1,Test Train 30 70,None,Logistic Regression,1.0,1.0,1.0,1.0
Turma 1,Random 20 80,None,Neural Network,0.64286,0.81818,0.84444,0.72
Turma 1,Random 20 80,None,Random Forest,0.67857,0.79167,0.84444,0.73077
Turma 1,Random 20 80,None,Tree,0.64286,0.78261,0.83333,0.70588
Turma 1,Random 20 80,None,kNN,0.64286,0.9,0.86667,0.75
Turma 1,Random 20 80,None,Naive Bayes,0.92857,0.63415,0.81111,0.75362
Turma 1,Random 20 80,None,SVM,0.39286,0.64706,0.74444,0.48889
Turma 1,Random 20 80,None,Gradient Boosting,0.64286,0.85714,0.85556,0.73469
Turma 1,Random 20 80,None,AdaBoost,0.64286,0.85714,0.85556,0.73469
Turma 1,Random 20 80,None,Logistic Regression,0.64286,0.81818,0.84444,0.72
Turma 1,Random 20 80,Info gain Top 10,Neural Network,0.67857,0.79167,0.84444,0.73077
Turma 1,Random 20 80,Info gain Top 10,Random Forest,0.53571,0.9375,0.84444,0.68182
Turma 1,Random 20 80,Info gain Top 10,Tree,0.67857,0.79167,0.84444,0.73077
Turma 1,Random 20 80,Info gain Top 10,kNN,0.64286,0.85714,0.85556,0.73469
Turma 1,Random 20 80,Info gain Top 10,Naive Bayes,0.78571,0.62857,0.78889,0.69841
Turma 1,Random 20 80,Info gain Top 10,SVM,0.28571,0.8,0.75556,0.42105
Turma 1,Random 20 80,Info gain Top 10,Gradient Boosting,0.67857,0.90476,0.87778,0.77551
Turma 1,Random 20 80,Info gain Top 10,AdaBoost,0.71429,0.83333,0.86667,0.76923
Turma 1,Random 20 80,Info gain Top 10,Logistic Regression,0.60714,0.77273,0.82222,0.68
Turma 1,Random 20 80,Gain ratio Top 10,Neural Network,0.67857,0.76,0.83333,0.71698
Turma 1,Random 20 80,Gain ratio Top 10,Random Forest,0.64286,0.85714,0.85556,0.73469
Turma 1,Random 20 80,Gain ratio Top 10,Tree,0.67857,0.86364,0.86667,0.76
Turma 1,Random 20 80,Gain ratio Top 10,kNN,0.64286,0.81818,0.84444,0.72
Turma 1,Random 20 80,Gain ratio Top 10,Naive Bayes,0.78571,0.61111,0.77778,0.6875
Turma 1,Random 20 80,Gain ratio Top 10,SVM,0.28571,0.61538,0.72222,0.39024
Turma 1,Random 20 80,Gain ratio Top 10,Gradient Boosting,0.67857,0.95,0.88889,0.79167
Turma 1,Random 20 80,Gain ratio Top 10,AdaBoost,0.64286,0.75,0.82222,0.69231
Turma 1,Random 20 80,Gain ratio Top 10,Logistic Regression,0.57143,0.8,0.82222,0.66667
Turma 1,Random 20 80,ANOVA Top 10,Neural Network,0.75,0.77778,0.85556,0.76364
Turma 1,Random 20 80,ANOVA Top 10,Random Forest,0.60714,0.94444,0.86667,0.73913
Turma 1,Random 20 80,ANOVA Top 10,Tree,0.75,0.875,0.88889,0.80769
Turma 1,Random 20 80,ANOVA Top 10,kNN,0.64286,0.81818,0.84444,0.72
Turma 1,Random 20 80,ANOVA Top 10,Naive Bayes,0.78571,0.64706,0.8,0.70968
Turma 1,Random 20 80,ANOVA Top 10,SVM,0.28571,0.61538,0.72222,0.39024
Turma 1,Random 20 80,ANOVA Top 10,Gradient Boosting,0.67857,0.95,0.88889,0.79167
Turma 1,Random 20 80,ANOVA Top 10,AdaBoost,0.60714,0.85,0.84444,0.70833
Turma 1,Random 20 80,ANOVA Top 10,Logistic Regression,0.60714,0.80952,0.83333,0.69388
Turma 1,Random 20 80,Chi2 Top 10,Neural Network,0.60714,0.77273,0.82222,0.68
Turma 1,Random 20 80,Chi2 Top 10,Random Forest,0.60714,0.94444,0.86667,0.73913
Turma 1,Random 20 80,Chi2 Top 10,Tree,0.5,0.73684,0.78889,0.59574
Turma 1,Random 20 80,Chi2 Top 10,kNN,0.5,0.77778,0.8,0.6087
Turma 1,Random 20 80,Chi2 Top 10,Naive Bayes,0.78571,0.62857,0.78889,0.69841
Turma 1,Random 20 80,Chi2 Top 10,SVM,0.21429,0.54545,0.7,0.30769
Turma 1,Random 20 80,Chi2 Top 10,Gradient Boosting,0.57143,0.8,0.82222,0.66667
Turma 1,Random 20 80,Chi2 Top 10,AdaBoost,0.60714,0.77273,0.82222,0.68
Turma 1,Random 20 80,Chi2 Top 10,Logistic Regression,0.75,0.77778,0.85556,0.76364
Turma 1,Random 20 80,Chi2 Top 5,Neural Network,0.53571,0.78947,0.81111,0.6383
Turma 1,Random 20 80,Chi2 Top 5,Random Forest,0.5,0.66667,0.76667,0.57143
Turma 1,Random 20 80,Chi2 Top 5,Tree,0.42857,0.66667,0.75556,0.52174
Turma 1,Random 20 80,Chi2 Top 5,kNN,0.39286,0.61111,0.73333,0.47826
Turma 1,Random 20 80,Chi2 Top 5,Naive Bayes,0.75,0.7,0.82222,0.72414
Turma 1,Random 20 80,Chi2 Top 5,SVM,0.35714,0.66667,0.74444,0.46512
Turma 1,Random 20 80,Chi2 Top 5,Gradient Boosting,0.39286,0.73333,0.76667,0.51163
Turma 1,Random 20 80,Chi2 Top 5,AdaBoost,0.42857,0.75,0.77778,0.54545
Turma 1,Random 20 80,Chi2 Top 5,Logistic Regression,0.57143,0.84211,0.83333,0.68085
Turma 1,Random 20 80,ANOVA Top 5,Neural Network,0.64286,0.85714,0.85556,0.73469
Turma 1,Random 20 80,ANOVA Top 5,Random Forest,0.46429,0.72222,0.77778,0.56522
Turma 1,Random 20 80,ANOVA Top 5,Tree,0.60714,0.70833,0.8,0.65385
Turma 1,Random 20 80,ANOVA Top 5,kNN,0.39286,0.64706,0.74444,0.48889
Turma 1,Random 20 80,ANOVA Top 5,Naive Bayes,0.78571,0.73333,0.84444,0.75862
Turma 1,Random 20 80,ANOVA Top 5,SVM,0.39286,0.73333,0.76667,0.51163
Turma 1,Random 20 80,ANOVA Top 5,Gradient Boosting,0.39286,0.84615,0.78889,0.53659
Turma 1,Random 20 80,ANOVA Top 5,AdaBoost,0.42857,0.8,0.78889,0.55814
Turma 1,Random 20 80,ANOVA Top 5,Logistic Regression,0.71429,0.90909,0.88889,0.8
Turma 1,Random 20 80,Gain ratio Top 5,Neural Network,0.57143,0.88889,0.84444,0.69565
Turma 1,Random 20 80,Gain ratio Top 5,Random Forest,0.53571,0.83333,0.82222,0.65217
Turma 1,Random 20 80,Gain ratio Top 5,Tree,0.64286,0.9,0.86667,0.75
Turma 1,Random 20 80,Gain ratio Top 5,kNN,0.57143,0.8,0.82222,0.66667
Turma 1,Random 20 80,Gain ratio Top 5,Naive Bayes,0.78571,0.61111,0.77778,0.6875
Turma 1,Random 20 80,Gain ratio Top 5,SVM,0.39286,0.73333,0.76667,0.51163
Turma 1,Random 20 80,Gain ratio Top 5,Gradient Boosting,0.64286,0.94737,0.87778,0.76596
Turma 1,Random 20 80,Gain ratio Top 5,AdaBoost,0.64286,0.85714,0.85556,0.73469
Turma 1,Random 20 80,Gain ratio Top 5,Logistic Regression,0.53571,0.88235,0.83333,0.66667
Turma 1,Random 20 80,Info gain Top 5,Neural Network,0.53571,0.83333,0.82222,0.65217
Turma 1,Random 20 80,Info gain Top 5,Random Forest,0.57143,0.94118,0.85556,0.71111
Turma 1,Random 20 80,Info gain Top 5,Tree,0.67857,0.82609,0.85556,0.7451
Turma 1,Random 20 80,Info gain Top 5,kNN,0.57143,0.8,0.82222,0.66667
Turma 1,Random 20 80,Info gain Top 5,Naive Bayes,0.78571,0.61111,0.77778,0.6875
Turma 1,Random 20 80,Info gain Top 5,SVM,0.39286,0.73333,0.76667,0.51163
Turma 1,Random 20 80,Info gain Top 5,Gradient Boosting,0.71429,0.95238,0.9,0.81633
Turma 1,Random 20 80,Info gain Top 5,AdaBoost,0.64286,0.9,0.86667,0.75
Turma 1,Random 20 80,Info gain Top 5,Logistic Regression,0.57143,0.94118,0.85556,0.71111
Turma 2,Random 20 80,Info gain Top 10,Neural Network,0.97222,0.98592,0.98333,0.97902
Turma 2,Random 20 80,Info gain Top 10,Random Forest,0.90278,0.98485,0.95556,0.94203
Turma 2,Random 20 80,Info gain Top 10,Tree,0.91667,0.95652,0.95,0.93617
Turma 2,Random 20 80,Info gain Top 10,kNN,0.91667,0.98507,0.96111,0.94964
Turma 2,Random 20 80,Info gain Top 10,Naive Bayes,0.98611,0.89873,0.95,0.9404
Turma 2,Random 20 80,Info gain Top 10,SVM,0.97222,0.98592,0.98333,0.97902
Turma 2,Random 20 80,Info gain Top 10,Gradient Boosting,0.90278,0.98485,0.95556,0.94203
Turma 2,Random 20 80,Info gain Top 10,AdaBoost,0.90278,0.94203,0.93889,0.92199
Turma 2,Random 20 80,Info gain Top 10,Logistic Regression,0.91667,0.97059,0.95556,0.94286
Turma 2,Random 20 80,Gain ratio Top 10,Neural Network,0.95833,0.98571,0.97778,0.97183
Turma 2,Random 20 80,Gain ratio Top 10,Random Forest,0.94444,0.98551,0.97222,0.96454
Turma 2,Random 20 80,Gain ratio Top 10,Tree,0.91667,0.95652,0.95,0.93617
Turma 2,Random 20 80,Gain ratio Top 10,kNN,0.91667,0.98507,0.96111,0.94964
Turma 2,Random 20 80,Gain ratio Top 10,Naive Bayes,1.0,0.9,0.95556,0.94737
Turma 2,Random 20 80,Gain ratio Top 10,SVM,0.97222,0.9589,0.97222,0.96552
Turma 2,Random 20 80,Gain ratio Top 10,Gradient Boosting,0.93056,0.97101,0.96111,0.95035
Turma 2,Random 20 80,Gain ratio Top 10,AdaBoost,0.93056,0.97101,0.96111,0.95035
Turma 2,Random 20 80,Gain ratio Top 10,Logistic Regression,0.93056,0.97101,0.96111,0.95035
Turma 2,Random 20 80,ANOVA Top 10,Neural Network,1.0,0.94737,0.97778,0.97297
Turma 2,Random 20 80,ANOVA Top 10,Random Forest,0.90278,0.98485,0.95556,0.94203
Turma 2,Random 20 80,ANOVA Top 10,Tree,0.91667,0.95652,0.95,0.93617
Turma 2,Random 20 80,ANOVA Top 10,kNN,0.91667,0.98507,0.96111,0.94964
Turma 2,Random 20 80,ANOVA Top 10,Naive Bayes,0.93056,0.88158,0.92222,0.90541
Turma 2,Random 20 80,ANOVA Top 10,SVM,0.94444,0.98551,0.97222,0.96454
Turma 2,Random 20 80,ANOVA Top 10,Gradient Boosting,0.93056,0.97101,0.96111,0.95035
Turma 2,Random 20 80,ANOVA Top 10,AdaBoost,0.93056,0.97101,0.96111,0.95035
Turma 2,Random 20 80,ANOVA Top 10,Logistic Regression,0.93056,0.97101,0.96111,0.95035
Turma 2,Random 20 80,Chi2 Top 10,Neural Network,0.98611,0.95946,0.97778,0.9726
Turma 2,Random 20 80,Chi2 Top 10,Random Forest,0.93056,0.97101,0.96111,0.95035
Turma 2,Random 20 80,Chi2 Top 10,Tree,0.93056,0.94366,0.95,0.93706
Turma 2,Random 20 80,Chi2 Top 10,kNN,0.91667,0.98507,0.96111,0.94964
Turma 2,Random 20 80,Chi2 Top 10,Naive Bayes,0.98611,0.87654,0.93889,0.9281
Turma 2,Random 20 80,Chi2 Top 10,SVM,0.94444,0.98551,0.97222,0.96454
Turma 2,Random 20 80,Chi2 Top 10,Gradient Boosting,0.93056,0.98529,0.96667,0.95714
Turma 2,Random 20 80,Chi2 Top 10,AdaBoost,0.93056,0.94366,0.95,0.93706
Turma 2,Random 20 80,Chi2 Top 10,Logistic Regression,0.93056,0.97101,0.96111,0.95035
Turma 2,Random 20 80,Chi2 Top 5,Neural Network,0.98611,0.94667,0.97222,0.96599
Turma 2,Random 20 80,Chi2 Top 5,Random Forest,0.93056,0.97101,0.96111,0.95035
Turma 2,Random 20 80,Chi2 Top 5,Tree,0.93056,0.94366,0.95,0.93706
Turma 2,Random 20 80,Chi2 Top 5,kNN,0.91667,0.98507,0.96111,0.94964
Turma 2,Random 20 80,Chi2 Top 5,Naive Bayes,0.93056,0.8375,0.9,0.88158
Turma 2,Random 20 80,Chi2 Top 5,SVM,0.93056,0.98529,0.96667,0.95714
Turma 2,Random 20 80,Chi2 Top 5,Gradient Boosting,0.94444,0.97143,0.96667,0.95775
Turma 2,Random 20 80,Chi2 Top 5,AdaBoost,0.94444,0.95775,0.96111,0.95105
Turma 2,Random 20 80,Chi2 Top 5,Logistic Regression,0.91667,0.97059,0.95556,0.94286
Turma 2,Random 20 80,ANOVA Top 5,Neural Network,0.98611,0.94667,0.97222,0.96599
Turma 2,Random 20 80,ANOVA Top 5,Random Forest,0.91667,0.97059,0.95556,0.94286
