Dataset,Sample Method,Preprocessing,Learner,Recall,Precision,Accuracy,F1 Score
Turma 1,Test Train 30 70,Info gain Top 10,Neural Network,0.66667,1.0,0.91667,0.8
Turma 1,Test Train 30 70,Info gain Top 10,Random Forest,0.33333,0.5,0.75,0.4
Turma 1,Test Train 30 70,Info gain Top 10,Tree,0.33333,0.5,0.75,0.4
Turma 1,Test Train 30 70,Info gain Top 10,kNN,1.0,0.6,0.83333,0.75
Turma 1,Test Train 30 70,Info gain Top 10,Naive Bayes,1.0,0.5,0.75,0.66667
Turma 1,Test Train 30 70,Info gain Top 10,SVM,0.66667,0.66667,0.83333,0.66667
Turma 1,Test Train 30 70,Info gain Top 10,Gradient Boosting,0.66667,1.0,0.91667,0.8
Turma 1,Test Train 30 70,Info gain Top 10,AdaBoost,0.33333,1.0,0.83333,0.5
Turma 1,Test Train 30 70,Info gain Top 10,Logistic Regression,1.0,1.0,1.0,1.0
Turma 1,Test Train 30 70,Gain ratio Top 10,Neural Network,0.66667,1.0,0.91667,0.8
Turma 1,Test Train 30 70,Gain ratio Top 10,Random Forest,0.33333,1.0,0.83333,0.5
Turma 1,Test Train 30 70,Gain ratio Top 10,Tree,0.33333,0.5,0.75,0.4
Turma 1,Test Train 30 70,Gain ratio Top 10,kNN,1.0,0.5,0.75,0.66667
Turma 1,Test Train 30 70,Gain ratio Top 10,Naive Bayes,1.0,0.5,0.75,0.66667
Turma 1,Test Train 30 70,Gain ratio Top 10,SVM,1.0,0.6,0.83333,0.75
Turma 1,Test Train 30 70,Gain ratio Top 10,Gradient Boosting,0.33333,1.0,0.83333,0.5
Turma 1,Test Train 30 70,Gain ratio Top 10,AdaBoost,0.33333,1.0,0.83333,0.5
Turma 1,Test Train 30 70,Gain ratio Top 10,Logistic Regression,1.0,0.75,0.91667,0.85714
Turma 1,Test Train 30 70,ANOVA Top 10,Neural Network,0.66667,1.0,0.91667,0.8
Turma 1,Test Train 30 70,ANOVA Top 10,Random Forest,1.0,0.5,0.75,0.66667
Turma 1,Test Train 30 70,ANOVA Top 10,Tree,0.33333,0.5,0.75,0.4
Turma 1,Test Train 30 70,ANOVA Top 10,kNN,1.0,0.6,0.83333,0.75
Turma 1,Test Train 30 70,ANOVA Top 10,Naive Bayes,1.0,0.5,0.75,0.66667
Turma 1,Test Train 30 70,ANOVA Top 10,SVM,1.0,0.6,0.83333,0.75
Turma 1,Test Train 30 70,ANOVA Top 10,Gradient Boosting,0.33333,1.0,0.83333,0.5
Turma 1,Test Train 30 70,ANOVA Top 10,AdaBoost,0.33333,1.0,0.83333,0.5
Turma 1,Test Train 30 70,ANOVA Top 10,Logistic Regression,1.0,0.75,0.91667,0.85714
Turma 1,Test Train 30 70,Chi2 Top 10,Neural Network,0.66667,0.66667,0.83333,0.66667
Turma 1,Test Train 30 70,Chi2 Top 10,Random Forest,0.66667,0.66667,0.83333,0.66667
Turma 1,Test Train 30 70,Chi2 Top 10,Tree,0.33333,0.5,0.75,0.4
Turma 1,Test Train 30 70,Chi2 Top 10,kNN,1.0,0.6,0.83333,0.75
