Dataset,Sample Method,Preprocessing,Learner,Recall,Precision,Accuracy,F1 Score
Turma 1,Random 20 80,None,Neural Network,0.71429,0.83333,0.86667,0.76923
Turma 1,Random 20 80,None,Random Forest,0.64286,0.94737,0.87778,0.76596
Turma 1,Random 20 80,None,Tree,0.67857,0.76,0.83333,0.71698
Turma 1,Random 20 80,None,kNN,0.57143,0.84211,0.83333,0.68085
Turma 1,Random 20 80,None,Naive Bayes,0.85714,0.61538,0.78889,0.71642
Turma 1,Random 20 80,None,SVM,0.42857,0.8,0.78889,0.55814
Turma 1,Random 20 80,None,Gradient Boosting,0.71429,0.86957,0.87778,0.78431
Turma 1,Random 20 80,None,AdaBoost,0.71429,0.74074,0.83333,0.72727
Turma 1,Random 20 80,None,Logistic Regression,0.60714,0.80952,0.83333,0.69388
Turma 1,10 Fold,None,Neural Network,0.6,0.75,0.85366,0.66667
Turma 1,10 Fold,None,Random Forest,0.7,0.7,0.85366,0.7
Turma 1,10 Fold,None,Tree,0.8,0.66667,0.85366,0.72727
Turma 1,10 Fold,None,kNN,0.6,0.85714,0.87805,0.70588
Turma 1,10 Fold,None,Naive Bayes,0.9,0.5,0.7561,0.64286
Turma 1,10 Fold,None,SVM,0.6,0.85714,0.87805,0.70588
Turma 1,10 Fold,None,Gradient Boosting,0.8,0.8,0.90244,0.8
Turma 1,10 Fold,None,AdaBoost,0.8,0.57143,0.80488,0.66667
Turma 1,10 Fold,None,Logistic Regression,0.7,0.63636,0.82927,0.66667
Turma 2,Random 20 80,None,Neural Network,0.95833,0.97183,0.97222,0.96503
Turma 2,Random 20 80,None,Random Forest,0.94444,0.97143,0.96667,0.95775
Turma 2,Random 20 80,None,Tree,0.94444,0.93151,0.95,0.93793
Turma 2,Random 20 80,None,kNN,0.97222,0.97222,0.97778,0.97222
Turma 2,Random 20 80,None,Naive Bayes,0.97222,0.89744,0.94444,0.93333
Turma 2,Random 20 80,None,SVM,0.97222,0.92105,0.95556,0.94595
Turma 2,Random 20 80,None,Gradient Boosting,0.93056,0.98529,0.96667,0.95714
Turma 2,Random 20 80,None,AdaBoost,0.93056,0.97101,0.96111,0.95035
Turma 2,Random 20 80,None,Logistic Regression,0.93056,0.95714,0.95556,0.94366
Turma 2,10 Fold,None,Neural Network,0.96875,0.93939,0.96512,0.95385
Turma 2,10 Fold,None,Random Forest,0.96875,0.96875,0.97674,0.96875
Turma 2,10 Fold,None,Tree,0.96875,0.93939,0.96512,0.95385
Turma 2,10 Fold,None,kNN,0.96875,0.96875,0.97674,0.96875
Turma 2,10 Fold,None,Naive Bayes,1.0,0.86486,0.94186,0.92754
Turma 2,10 Fold,None,SVM,0.96875,0.88571,0.94186,0.92537
Turma 2,10 Fold,None,Gradient Boosting,0.9375,0.96774,0.96512,0.95238
Turma 2,10 Fold,None,AdaBoost,0.9375,0.96774,0.96512,0.95238
Turma 2,10 Fold,None,Logistic Regression,0.9375,0.90909,0.94186,0.92308
Turma 1,Random 20 80,Info gain Top 10,Neural Network,0.67857,0.82609,0.85556,0.7451
Turma 1,Random 20 80,Info gain Top 10,Random Forest,0.64286,0.94737,0.87778,0.76596
Turma 1,Random 20 80,Info gain Top 10,Tree,0.67857,0.76,0.83333,0.71698
Turma 1,Random 20 80,Info gain Top 10,kNN,0.57143,0.88889,0.84444,0.69565
Turma 1,Random 20 80,Info gain Top 10,Naive Bayes,0.82143,0.60526,0.77778,0.69697
