name,grades_between_0_2_5,grades_between_2_5_5,grades_between_5_7_5,grades_between_7_5_10,grades_below_5,grades_above_5,grades_below_mean,grades_above_mean,important_activities_complete,important_activities_complete_above_average,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_above_average,important_activities_incomplete_below_average,important_grades_below_mean,important_grades_above_mean,attendance_above_mean,attendance_below_mean,missing,present,partial_presence,amount_sequencial_missing,missing_0,missing_10,missing_20,missing_30,missing_40,missing_50,missing_60,missing_70,missing_80,missing_90,missing_100,classification,sequencial_missing_0,sequencial_missing_1,sequencial_missing_2,sequencial_missing_3,sequencial_missing_4,sequencial_missing_5,sequencial_missing_6,sequencial_missing_7,sequencial_missing_8,sequencial_missing_9,sequencial_missing_10
Aluno 19,15,3,0,3,18,3,12,9,0,0,0,0,0,0,0,0,7,30,5,30,2,0,0,1,2,1,1,0,0,0,0,0,0,relatively_danger,0,5,0,0,0,0,0,0,0,0,0
Aluno 20,18,0,0,3,18,3,12,9,0,0,0,0,0,0,0,0,3,34,2,34,1,0,0,0,0,1,1,0,0,0,0,0,0,relatively_danger,0,2,0,0,0,0,0,0,0,0,0
Aluno 23,13,2,1,5,15,6,9,12,0,0,0,0,0,0,0,0,4,33,3,33,1,0,0,2,0,0,1,0,0,0,0,0,0,relatively_danger,0,3,0,0,0,0,0,0,0,0,0
Aluno 24,13,2,2,4,15,6,9,12,0,0,0,0,0,0,0,0,4,33,3,33,1,0,0,2,0,1,0,0,0,0,0,0,0,relatively_danger,0,3,0,0,0,0,0,0,0,0,0
Aluno 32,10,2,4,5,12,9,6,15,0,0,0,0,0,0,0,0,6,31,2,31,4,0,0,0,1,0,1,0,0,0,0,0,0,relatively_danger,0,2,0,0,0,0,0,0,0,0,0
Aluno 35,18,0,0,3,18,3,12,9,0,0,0,0,0,0,0,0,4,33,2,33,2,0,0,0,1,0,1,0,0,0,0,0,0,relatively_danger,0,2,0,0,0,0,0,0,0,0,0
Aluno 39,12,0,3,6,12,9,6,15,0,0,0,0,0,0,0,0,4,33,4,33,0,0,1,2,0,0,1,0,0,0,0,0,0,relatively_danger,0,4,0,0,0,0,0,0,0,0,0
Aluno 1,18,0,0,3,18,3,12,9,0,0,0,0,0,0,0,0,19,18,9,18,10,0,1,5,1,2,0,0,0,0,0,0,0,danger,0,9,0,0,0,0,0,0,0,0,0
Aluno 2,18,1,1,1,19,2,13,8,0,0,0,0,0,0,0,0,6,31,3,31,3,0,0,2,0,1,0,0,0,0,0,0,0,danger,0,3,0,0,0,0,0,0,0,0,0
Aluno 6,18,2,0,1,20,1,13,8,0,0,0,0,0,0,0,0,7,30,6,30,1,0,1,2,0,2,1,0,0,0,0,0,0,danger,0,6,0,0,0,0,0,0,0,0,0
Aluno 9,18,1,0,2,19,2,12,9,0,0,0,0,0,0,0,0,4,33,2,33,2,0,0,0,1,0,1,0,0,0,0,0,0,danger,0,2,0,0,0,0,0,0,0,0,0
Aluno 10,19,1,0,1,20,1,14,7,0,0,0,0,0,0,0,0,6,31,3,31,3,0,0,0,0,2,1,0,0,0,0,0,0,danger,0,3,0,0,0,0,0,0,0,0,0
Aluno 11,19,0,1,1,19,2,13,8,0,0,0,0,0,0,0,0,5,32,3,32,2,0,0,0,0,2,1,0,0,0,0,0,0,danger,0,3,0,0,0,0,0,0,0,0,0
Aluno 18,16,2,2,1,18,3,12,9,0,0,0,0,0,0,0,0,7,30,4,30,3,0,0,1,1,1,1,0,0,0,0,0,0,danger,0,4,0,0,0,0,0,0,0,0,0
Aluno 29,18,1,1,1,19,2,13,8,0,0,0,0,0,0,0,0,5,32,4,32,1,0,0,0,2,1,1,0,0,0,0,0,0,danger,0,4,0,0,0,0,0,0,0,0,0
Aluno 30,19,0,0,2,19,2,13,8,0,0,0,0,0,0,0,0,6,31,4,31,2,0,0,1,1,1,1,0,0,0,0,0,0,danger,0,4,0,0,0,0,0,0,0,0,0
Aluno 40,21,0,0,0,21,0,15,6,0,0,0,0,0,0,0,0,24,13,14,13,10,0,2,7,2,2,1,0,0,0,0,0,0,danger,0,14,0,0,0,0,0,0,0,0,0
