dataset,ratio_evaluation,evaluation_method,feature_selection,learner,accuracy,f1_score,precision,recall,top 1,top 2,top 3,top 4,top 5,top 6,top 7,top 8,top 9,top 10
turma_1,1.0,xvalidation (k=10),anova (10),random_forest,0.8585365853658536,0.6947368421052631,0.7333333333333333,0.66,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_7_5_10,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,attendance_below_mean
turma_1,1.0,xvalidation (k=10),anova (10),knn,0.8048780487804879,0.5,0.6666666666666666,0.4,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_7_5_10,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,attendance_below_mean
turma_1,1.0,xvalidation (k=10),anova (10),tree,0.8536585365853658,0.7,0.7,0.7,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_7_5_10,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,attendance_below_mean
turma_1,1.0,xvalidation (k=10),anova (10),naive_bayes,0.7560975609756098,0.6428571428571429,0.5,0.9,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_7_5_10,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,attendance_below_mean
turma_1,1.0,xvalidation (k=10),anova (10),logistic_regression,0.9024390243902439,0.8000000000000002,0.8,0.8,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_7_5_10,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,attendance_below_mean
turma_1,1.0,xvalidation (k=10),anova (10),neural_network,0.7829268292682927,0.48554913294797686,0.5753424657534246,0.42,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_7_5_10,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,attendance_below_mean
turma_1,1.0,xvalidation (k=10),anova (10),gradient_boosting,0.8780487804878049,0.761904761904762,0.7272727272727273,0.8,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_7_5_10,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,attendance_below_mean
turma_1,1.0,xvalidation (k=10),anova (10),svm,0.6829268292682927,0.13333333333333333,0.2,0.1,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_7_5_10,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,attendance_below_mean
turma_1,1.0,"random (n=10, test=20%)",anova (10),random_forest,0.8433333333333334,0.6788154897494305,0.6930232558139535,0.6651785714285714,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_7_5_10,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,attendance_below_mean
turma_1,1.0,"random (n=10, test=20%)",anova (10),knn,0.8211111111111111,0.6175771971496438,0.6735751295336787,0.5701754385964912,grades_average,grades_between_0_2_5,grades_below_mean,grades_between_7_5_10,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_incomplete,attendance_below_mean
