name,classification,grades_average,grades_between_0_2_5,grades_between_2_5_5,grades_between_5_7_5,grades_between_7_5_10,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_complete_below_average,activities_incomplete,activities_incomplete_below_average,attendance_below_mean,missing,partial_presence,amount_sequencial_missing,sequencial_missing_1
Aluno 1,positive,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,88.88888888888889,44.44444444444444,44.44444444444444,0,3
Aluno 10,positive,1.3199999999999998,80.0,20.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,11.11111111111111,0.0,11.11111111111111,0,0
Aluno 11,positive,2.96,60.0,0.0,20.0,20.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,11.11111111111111,0.0,11.11111111111111,0,0
Aluno 12,negative,9.26,0.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Aluno 13,negative,9.22,0.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Aluno 14,negative,5.3,40.0,0.0,20.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,22.22222222222222,11.11111111111111,11.11111111111111,0,1
Aluno 15,negative,9.24,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Aluno 16,positive,6.16,20.0,20.0,20.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,33.33333333333333,22.22222222222222,11.11111111111111,0,2
Aluno 17,negative,9.3,0.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Aluno 18,negative,0.76,80.0,20.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0,0
Aluno 19,negative,3.5799999999999996,40.0,40.0,0.0,20.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,22.22222222222222,11.11111111111111,11.11111111111111,0,0
Aluno 2,negative,1.3199999999999998,80.0,20.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,44.44444444444444,22.22222222222222,22.22222222222222,0,1
Aluno 20,positive,4.0,60.0,0.0,0.0,40.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,11.11111111111111,0.0,11.11111111111111,0,0
Aluno 21,negative,9.32,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Aluno 22,negative,8.620000000000001,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111,0.0,11.11111111111111,0,0
Aluno 23,negative,7.459999999999999,20.0,0.0,20.0,60.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0,0
Aluno 24,negative,4.38,40.0,0.0,40.0,20.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0,0
Aluno 25,negative,9.059999999999999,0.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Aluno 26,negative,9.28,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111,0.0,11.11111111111111,0,0
Aluno 27,negative,8.82,0.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111,11.11111111111111,0.0,0,1
Aluno 28,negative,9.42,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Aluno 29,negative,0.6799999999999999,80.0,20.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0,0
Aluno 3,negative,2.46,60.0,20.0,0.0,20.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0,0
Aluno 30,positive,2.0,80.0,0.0,0.0,20.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,33.33333333333333,11.11111111111111,22.22222222222222,0,0
Aluno 31,negative,9.16,0.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22222222222222,0.0,22.22222222222222,0,0
Aluno 32,negative,3.2600000000000002,40.0,40.0,0.0,20.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,22.22222222222222,0.0,22.22222222222222,0,0
Aluno 33,negative,9.3,0.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Aluno 34,negative,5.3,40.0,0.0,20.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,11.11111111111111,11.11111111111111,0.0,0,1
