name,classification,grades_average,grades_between_0_2_5,grades_between_2_5_5,grades_between_5_7_5,grades_between_7_5_10,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_complete_below_average,activities_incomplete,activities_incomplete_below_average,attendance_below_mean,missing,partial_presence,amount_sequencial_missing,sequencial_missing_1
Aluno 35,positive,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,11.11111111111111,0.0,11.11111111111111,0,0
Aluno 36,negative,8.22,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,11.11111111111111,22.22222222222222,0,1
Aluno 37,negative,8.959999999999999,0.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111,0.0,11.11111111111111,0,0
Aluno 38,negative,9.68,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Aluno 39,negative,5.68,40.0,0.0,0.0,60.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,11.11111111111111,11.11111111111111,0.0,0,1
Aluno 4,negative,8.959999999999999,0.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111,0.0,11.11111111111111,0,0
Aluno 40,positive,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,88.88888888888889,44.44444444444444,44.44444444444444,0,3
Aluno 41,negative,9.32,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111,11.11111111111111,0.0,0,0
Aluno 5,negative,9.059999999999999,0.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Aluno 6,negative,0.8,80.0,20.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0,0
Aluno 7,negative,6.8,20.0,20.0,0.0,60.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,55.55555555555556,11.11111111111111,44.44444444444444,0,1
Aluno 8,positive,7.140000000000001,20.0,0.0,20.0,60.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,22.22222222222222,0.0,22.22222222222222,0,0
Aluno 9,positive,2.0,80.0,0.0,0.0,20.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,22.22222222222222,0.0,22.22222222222222,0,0
