name,classification,grades_average,grades_between_0_2_5,grades_between_2_5_5,grades_between_5_7_5,grades_between_7_5_10,grades_below_5,grades_below_mean,important_activities_complete_below_average,important_activities_incomplete,important_activities_incomplete_below_average,important_grades_below_mean,activities_complete_below_average,activities_incomplete,activities_incomplete_below_average,attendance_below_mean,missing,partial_presence,amount_sequencial_missing,sequencial_missing_1
Aluno 1,positive,0.0,100.0,0.0,0.0,0.0,100.0,70.0,0.0,0.0,0.0,0.0,0.0,100.0,40.0,72.22222222222221,33.33333333333333,38.88888888888889,0,6
Aluno 10,positive,0.6599999999999999,90.0,10.0,0.0,0.0,100.0,70.0,0.0,0.0,0.0,0.0,0.0,80.0,40.0,16.666666666666664,0.0,16.666666666666664,0,0
Aluno 11,positive,1.48,80.0,0.0,10.0,10.0,80.0,50.0,0.0,0.0,0.0,0.0,0.0,80.0,40.0,5.555555555555555,0.0,5.555555555555555,0,0
Aluno 12,negative,6.029999999999999,30.0,10.0,10.0,50.0,40.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,30.0,0.0,0.0,0.0,0,0
Aluno 13,negative,5.61,40.0,0.0,10.0,50.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0,0
Aluno 14,negative,3.95,50.0,0.0,30.0,20.0,50.0,30.0,0.0,0.0,0.0,0.0,10.0,50.0,30.0,11.11111111111111,5.555555555555555,5.555555555555555,0,1
Aluno 15,negative,5.62,40.0,0.0,0.0,60.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,5.555555555555555,5.555555555555555,0.0,0,1
Aluno 16,positive,4.38,50.0,10.0,0.0,40.0,60.0,30.0,0.0,0.0,0.0,0.0,0.0,50.0,40.0,16.666666666666664,11.11111111111111,5.555555555555555,0,2
Aluno 17,negative,5.65,40.0,0.0,10.0,50.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0,0
Aluno 18,negative,0.38,90.0,10.0,0.0,0.0,100.0,70.0,0.0,0.0,0.0,0.0,0.0,90.0,40.0,16.666666666666664,5.555555555555555,11.11111111111111,0,1
Aluno 19,negative,2.59,60.0,20.0,0.0,20.0,80.0,50.0,0.0,0.0,0.0,0.0,0.0,60.0,40.0,16.666666666666664,5.555555555555555,11.11111111111111,0,1
